Kategória,Mező,Érték (nézd át / töltsd ki),Státusz,Megjegyzés
"JELMAGYARÁZAT","Státusz","✅ = kitöltöttem, csak nézd át · ⚠️ = kitöltöttem, de erősítsd meg · ❓ = hiányzik, töltsd ki","","—"
"A) ALAP","Hivatalos név","Royal Mediterran Aparthotel","✅",""
"A) ALAP","Cégnév (számlázási)","","❓","hivatalos cégnév a számlázáshoz"
"A) ALAP","Weboldal","https://royalmediterran.hu","✅",""
"A) ALAP","Helyszín","Siófok, Balaton déli part – közvetlen vízpart","⚠️","ad copy alapján Siófok; erősítsd meg a pontos címet"
"A) ALAP","Nyelvek","HU, DE","✅","német nyelvű hirdetések futnak"
"A) ALAP","Célpiacok","HU, DE, AT","✅",""
"A) ALAP","Fő KPI","bevétel/nap + ROAS","⚠️","heti Looker csekk alapján"
"A) ALAP","Havi hirdetési budget","kb. napi 20 000 Ft limit csúcsidőben","⚠️","karácsonyi briefből; pontos havi keret?"
"A) RENDSZEREK","Google Ads fiók ID","","❓",""
"A) RENDSZEREK","Looker Studio riport","https://lookerstudio.google.com/reporting/4e39ff08-9347-4af8-995b-9651222fa391/page/LmfuB","✅","heti csekk riport"
"A) RENDSZEREK","Meta Business ID","","❓",""
"A) RENDSZEREK","Meta hirdetési fiók ID","","❓",""
"A) RENDSZEREK","GA4 property","","❓",""
"A) RENDSZEREK","CMS","WordPress","✅",""
"A) RENDSZEREK","WordPress admin URL","","❓",""
"A) RENDSZEREK","Hírlevél","MailerLite","✅","MailerLite x WordPress (Gábor)"
"A) RENDSZEREK","Foglalás / PMS","SabeeApp","✅","valós bevétel innen ellenőrizhető"
"A) RENDSZEREK","Instagram URL","","❓",""
"A) RENDSZEREK","Facebook URL","","❓",""
"A) RENDSZEREK","TikTok","","❓","van egyáltalán?"
"A) RENDSZEREK","Asana projekt","https://app.asana.com/1/1203966796067054/project/1204459937939799","✅",""
"A) RENDSZEREK","Drive ügyfélmappa","https://drive.google.com/drive/folders/1xwMKSHkaO6oIUpJ3Y6S-klSVeShL4Al0","✅",""
"A) KONTAKT","Account manager","Levente (Levi) Tanai","✅",""
"A) KONTAKT","Grafikus","Dávid (statikus); Vivit; Bazsi (AI videók)","✅",""
"A) KONTAKT","PPC felelős","Zoli","⚠️","heti csekk 'írj Zolinak' alapján"
"A) KONTAKT","Web / fejlesztő","Gábor","⚠️","MailerLite x WordPress feladat alapján"
"A) KONTAKT","Ügyfél fő kontakt","Petra","⚠️","erősítsd meg a nevet/szerepet"
"A) KONTAKT","Ügyfél email","","❓",""
"A) KONTAKT","Ügyfél telefon","","❓",""
"B) CSOMAG","Penthouse lakosztály (saját jakuzzi, félpanzió)","Normál 255.300 / akciós ~119.900 / floor 99.900 Ft · 2 fő · 2 éj · HERO","✅","royalmediterran.hu/csomag/penthouse-csomag/"
"B) CSOMAG","Szerelmesek csomagja (ajándékutalvány)","Normál 119.700 / akciós 59.900 / floor 54.900 Ft · 2 fő · 2 éj · reggeli+jakuzzi+szauna · HERO","✅","névre szóló utalvány"
"B) CSOMAG","Romantika és feltöltődés","Normál 93.900 / akciós 49.900 / floor 44.900 Ft · 2 fő · 2 éj","✅",""
"B) CSOMAG","Last Minute Téli Romantika","Normál 92.900 / akciós 39.900 Ft (kupon LASTM2025) · /fő/éj kommunikáció (9.900)","✅","limitált darabszám"
"B) CSOMAG","Deluxe csomag","Normál 235.900 / akciós 99.900 / floor 89.900 Ft","⚠️","pontos tartalom kell"
"B) CSOMAG","Piknik a Balatonon (hajós)","Deluxe hajóval 52.900→25.900 / Speedy hajóval 38.900→19.900 Ft","✅","két hajó-variáns"
"B) CSOMAG","Lánykérés a Balatonon (exkluzív hajós)","299.900→99.900 Ft · 2 óra katamarán, Moët pezsgő, rózsacsokor, fedélzeti kamera","✅","prémium, magas AOV"
"B) CSOMAG","Business Escape (hajós csapatépítés)","3 óra hajózás ital-bekészítéssel","⚠️","ár hiányzik"
"B) CSOMAG","Karácsonyozz a teljes családdal (teljes ház)","","⚠️","ár + tartalom hiányzik"
"B) CSOMAG","Nyári családi apartman (közvetlen vízpart, saját strand)","","❓","nyári árak + URL kell (HU/DE fő nyári termék)"
"B) KUPON","MIKULAS40","Mikulás – Penthouse 99.900 Ft-ra","✅","ékezet nélkül, nagybetű"
"B) KUPON","KARACSONY20","Karácsony (dec 19+)","⚠️","pontos kedvezmény?"
"B) KUPON","LASTM2025","Last minute téli – 39.900 Ft (dec 10-24)","✅",""
"C) SZEGMENS","Párok / romantika (PRIO 1)","25-55, BP+nagyvárosok, HU; motiváció: élmény+ajándék; trigger: Valentin/évforduló/last minute","✅","bevétel gerince egész évben"
"C) SZEGMENS","Családok / nyári (PRIO 2)","30-50 szülők, HU; motiváció: gyerekbarát+közvetlen strand; trigger: nyári szabi/szünet","✅","nyári főszezon"
"C) SZEGMENS","Német turisták DE/AT (PRIO 3)","30-60, DE/AT; motiváció: Balaton+vízpart+wellness; DE nyelvű hirdetés","✅","külön német ad copy fut"
"C) SZEGMENS","Céges / csapatépítés (PRIO 4)","25-55, BP; hajós élmény; trigger: céges év vége/tavasz-ősz","✅","kicsi, magas AOV"
"D) POZÍCIÓ","Egymondatos pozicionálás","Közvetlen Balaton-parti aparthotel Siófokon, saját stranddal és privát wellnesszel – nyáron családoknak, egész évben pároknak","✅",""
"D) POZÍCIÓ","USP 1","Közvetlen vízpart + saját strand ('a strand a lábad előtt')","✅",""
"D) POZÍCIÓ","USP 2","Privát wellness – jakuzzi, szauna, Penthouse panoráma","✅",""
"D) POZÍCIÓ","USP 3","Élménycsomagok – hajózás, lánykérés, ajándékutalvány","✅",""
"D) POZÍCIÓ","Bizonyíték (proof)","Közvetlen vízparti fekvés, saját strand, HU/DE kommunikáció","✅",""
"D) POZÍCIÓ","Versenytárs 1","","❓","név + weboldal"
"D) POZÍCIÓ","Versenytárs 2","","❓","név + weboldal"
"D) POZÍCIÓ","Versenytárs 3","","❓","név + weboldal"
