"A) KAMPÁNY – név + beállítás","B) HIRDETÉSSOROZAT – név + célzás/beállítás","C) HIRDETÉS – név","D) Formátum","E) Angle / csomag","F) Headline javaslat","G) Hirdetési szöveg – Primary (javaslat)","H) Ár-blokk / kupon","I) CTA","J) KPI / megjegyzés"
"NY-CORE — Párok Purchase | Objective: VÁSÁRLÁS (fb_pixel_purchase, value HUF) | CBO | Bid: Highest volume → ROAS cap 4.0 | Attrib: 7 nap klikk / 1 nap nézés | Placement: Advantage+ | Keret: 42% (~252.000 Ft/hó) | Kizárás: utolsó 30–90 nap vásárlók | Megj.: a keret FŐ motorja, a bizonyított párok-angle","1) ABO – Penthouse (csomag-nevű) | HU, 25–55 | érdeklődés: wellness, romantikus hétvége, évforduló, párkapcsolat | napi ~2.500 Ft","Penthouse – ár-blokk statikus v1 (jakuzzi+pár)","statikus 1:1","Penthouse / párok","Penthouse privát jakuzzival – kettesben a Balaton felett","Kettesben a Balaton felett, saját panoráma jakuzzival és félpanzióval. A nyári hétvégék gyorsan telnek – foglalj most, míg van szabad időpont!","255.300 → 119.900 Ft (−135.400 Ft)","Foglald le kettesben","cél ROAS ≥6; a nyerő angle"
"","","Penthouse – ár-blokk statikus v2 (naplemente terasz)","statikus 1:1","Penthouse / párok","Nyári romantika a Balaton felett – Penthouse saját jakuzzival","Saját panoráma jakuzzi, félpanzió, naplemente a teraszról. Kettesben, közvetlen a vízparton. Foglalj most a nyári időpontokra!","255.300 → 119.900 Ft","Foglald le kettesben","A/B a v1-hez"
"","","Penthouse – statikus v3 (más fotó)","statikus 1:1","Penthouse / párok","Penthouse lakosztály – saját jakuzzi, privát Balaton-part","A Royal Mediterran Penthouse-a kettesben: privát panoráma jakuzzi, félpanzió, közvetlen vízpart. Limitált nyári helyek.","255.300 → 119.900 Ft","Foglald le kettesben","kreatív-rotáció"
"","","Penthouse – Story/Reels 9:16","statikus 9:16","Penthouse / párok","Penthouse privát jakuzzival","Nyári kettesbeszökés a Balaton felett – saját jakuzzi, félpanzió. Foglalj most!","255.300 → 119.900 Ft","Foglalj most","Story placement"
"","2) ABO – Deluxe 99e (a bevált NYERŐ recept, ad-level ROAS 7,91) | HU, 25–55 | tág érdeklődés (wellness, Balaton) | napi ~3.000 Ft","Deluxe 99e – ár-blokk statikus v1","statikus 1:1","Deluxe / párok","Deluxe lakosztály – nyári kettesbeszökés 99.900 Ft-ért","Balatonra néző Deluxe lakosztály, privát panoráma jakuzzival és félpanzióval. A tavalyi nyerő ajánlat vissza – foglalj most!","235.900 → 99.900 Ft (−136.000 Ft)","Foglald le kettesben","a legjobb hirdetés mintája – ezt skálázni"
"","","Deluxe 99e – statikus v2 (ajándék hajózással)","statikus 1:1","Deluxe / párok","Deluxe csomag ajándék hajózással – 99.900 Ft","3 nap/2 éj Balatonra néző Deluxe lakosztály, privát jakuzzi, félpanzió + ajándék hajózás. Nyári kettesbeszökés a legjobb áron.","235.900 → 99.900 Ft","Foglalj most","bevált 'ajándék hajózás' hook"
"","","Deluxe 99e – statikus v3","statikus 1:1","Deluxe / párok","Nyári romantika Deluxe lakosztályban a Balaton partján","Erkélyes Deluxe lakosztály a vízparton, privát jakuzzi, masszázs, félpanzió. Kettesben, most 99.900 Ft-ért.","235.900 → 99.900 Ft","Foglalj most","kreatív-rotáció"
"","","Deluxe 99e – Story/Reels 9:16","statikus 9:16","Deluxe / párok","Deluxe lakosztály – 99.900 Ft","Nyári kettesbeszökés Balatonra néző Deluxe lakosztályban, privát jakuzzival. Foglalj most!","235.900 → 99.900 Ft","Foglalj most","Story placement"
"","3) ABO – Szerelmesek 69.900 | HU, 25–55 | érdeklődés: ajándék, évforduló, páros program | napi ~2.500 Ft","Szerelmesek – ajándékutalvány statikus v1","statikus 1:1","Szerelmesek / ajándék","Szerelmesek csomagja – az élmény mindig jó ajándék","Naplemente, Balaton, jakuzzi és kettesben töltött nyári esték. Névre szóló ajándékutalvánnyal – az élmény mindig jó ajándék.","119.700 → 69.900 Ft","Ajándékozz élményt","utalvány angle"
"","","Szerelmesek – statikus v2 (jakuzzi+pezsgő)","statikus 1:1","Szerelmesek / párok","Romantikus Balatoni élmény a legjobb áron!","Kerti jakuzzi, korlátlan szauna, svédasztalos reggeli, kettesben a Balaton partján. Foglalj romantikus nyári szökést!","119.700 → 69.900 Ft","Foglald le kettesben","A/B"
