"Jelentés kezdete","Jelentés vége","Hirdetés neve",Hirdetésmegjelenítés,Eredmények,"Eredmény jelzése","Eredményenkénti költség","Hirdetéssorozat költségkerete","Hirdetéssorozat költségkeretének típusa","Elköltött összeg (HUF)",Megjelenések,Elérés,Gyakoriság,"CPM (1000 megjelenésre jutó költség) (HUF)",Vásárlások,Vége,"Hozzárendelés beállítása",Licitösszeg,Licittípus,"A legutóbbi jelentős módosítás","Minőségi rangsorolás","Aktivitási arányszám szerinti rangsorolás","Konverziós arány szerinti rangsorolás","Hirdetéssorozat neve","Vásárlási hirdetésmegtérülés (ROAS)"  
2023-06-17,2026-07-17,épületkarbantartó,not\_delivering,33,actions:leadgen.other,126.03030303,"Kampányszintű költségkeret használata",0,4159,6316,2576,2.451863,658.486384,,2025-02-21,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2025-02-14T18:03:55+0100,–,–,–,"Siófok +15km",  
2023-06-17,2026-07-17,2025\_07,active,,,,1500,Napi,124613,179611,103529,1.734886,693.79381,,folyamatban,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",0,ABSOLUTE\_OCPM,2025-07-04T09:35:10+0200,Átlagos,"Átlag feletti","Átlag alatti – a hirdetések alsó 20%-a",interest,  
2023-06-17,2026-07-17,"2025\_12 - penthouse - mikulás - 25e/fő - zöld - piros",not\_delivering,1,actions:offsite\_conversion.fb\_pixel\_purchase,5771,10000,Napi,5771,3531,2479,1.424365,1634.381195,1,2025-12-07,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"Penthouse (100e) - 12.05-06 -\> 25e/fő - v2",17.310691  
2023-06-17,2026-07-17,"2025\_12 - penthouse - mikulás - 25e/fő - zöld",not\_delivering,1,actions:offsite\_conversion.fb\_pixel\_purchase,14921,10000,Napi,14921,9956,7315,1.361039,1498.694255,1,2025-12-07,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,"Penthouse (100e) - 12.05-06 -\> 25e/fő - v2",6.695262  
2023-06-17,2026-07-17,"2025\_12 - AI video",not\_delivering,5,actions:offsite\_conversion.fb\_pixel\_purchase,30541.2,2000,Napi,152706,159600,66419,2.402927,956.804511,5,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2025-12-25T00:21:02+0100,–,–,–,"szerelmesek (60e) - AI video",2.227155  
2023-06-17,2026-07-17,"2025\_12 - lastminute",not\_delivering,19,actions:offsite\_conversion.fb\_pixel\_add\_to\_cart,72.21052632,"Kampányszintű költségkeret használata",0,1372,2214,1837,1.205226,619.692864,,folyamatban,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",0,ABSOLUTE\_OCPM,2026-02-13T13:34:34+0100,–,–,–,"lastminute 39e",  
2023-06-17,2026-07-17,"2025\_12 - karácsonyi penthouse",not\_delivering,348,actions:link\_click,17.07758621,5000,Napi,5943,12890,10977,1.174273,461.055081,,2025-12-20,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2025-12-19T14:02:20+0100,–,–,–,"2025\_12\_karácsonyi\_ Penthouse (100e) - - Copy",  
2023-06-17,2026-07-17,"2025\_12 - karácsonyi szerelmesek",not\_delivering,305,actions:link\_click,19.23606557,5000,Napi,5867,17670,15385,1.148521,332.031692,,2025-12-20,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2025-12-19T14:02:20+0100,–,–,–,"2025\_12\_karácsonyi szerelmesek (55e) - Copy",  
2023-06-17,2026-07-17,"2026\_02 valentin - 59.900",not\_delivering,3,actions:offsite\_conversion.fb\_pixel\_purchase,27753.33333333,18000,Napi,83260,77580,49023,1.582522,1073.214746,3,2026-02-15,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-02-13T13:35:26+0100,–,–,–,"2026\_02 - szerelmesek - 60e",4.56762  
2023-06-17,2026-07-17,"New Engagement Ad",not\_delivering,195,actions:post\_engagement,25.4974359,5000,Élettartam,4972,8595,8282,1.037793,578.475858,,2026-03-08,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,0,–,–,–,89e,  
2023-06-17,2026-07-17,"2026\_03 szerelmesek 70e",not\_delivering,270,actions:post\_engagement,20.31851852,5500,Élettartam,5486,12971,11300,1.147876,422.943489,,2026-03-20,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-03-19T16:07:19+0100,–,–,–,"2026\_03 szerelmesek 70e",  
2023-06-17,2026-07-17,"2026\_03 szerelmesek 70e",not\_delivering,2022,actions:post\_engagement,19.77992087,40000,Élettartam,39995,133667,92868,1.439322,299.213718,,2026-05-15,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-05-13T16:51:02+0200,–,–,–,"2026\_04 szerelmesek es hajo",  
2023-06-17,2026-07-17,"kep-piknik 25.900 ft",inactive,14,actions:landing\_page\_view,17.64285714,700,Napi,247,666,561,1.187166,370.870871,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-06-12T22:48:14+0200,–,–,–,"Interest - Budapestig",  
2023-06-17,2026-07-17,"image - privatstrand",active,3,actions:offsite\_conversion.fb\_pixel\_purchase,10448.33333333,1500,Napi,31345,32658,12244,2.667266,959.795456,3,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-06-26T20:48:25+0200,"Átlag feletti",–,–,"Privát strand",8.58893  
2023-06-17,2026-07-17,royal6,not\_delivering,,,,2500,Napi,847,671,492,1.363821,1262.295082,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-07-07T10:09:40+0200,–,–,–,"Legyél te a kapitány",  
2023-06-17,2026-07-17,royal5,not\_delivering,3,actions:offsite\_conversion.fb\_pixel\_purchase,7344,2500,Napi,22032,28477,12707,2.241048,773.677002,3,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-07-07T10:09:40+0200,Átlagos,–,–,"Legyél te a kapitány",4.783951  
2023-06-17,2026-07-17,royal4,active,,,,1500,Napi,31283,30613,10802,2.834012,1021.886127,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0,ABSOLUTE\_OCPM,2026-06-30T00:55:51+0200,Átlagos,–,–,"Penthouse 5% kedvezmeny",  
