"Jelentés kezdete","Jelentés vége","Kampány neve","Kampány teljesítése",Eredmények,"Eredmény jelzése","Eredményenkénti költség","Hirdetéssorozat költségkerete","Hirdetéssorozat költségkeretének típusa","Elköltött összeg (HUF)",Megjelenések,Elérés,Gyakoriság,"CPM (1000 megjelenésre jutó költség) (HUF)",Vásárlások,Vége,"Hozzárendelés beállítása","Vásárlási hirdetésmegtérülés (ROAS)"
2023-06-17,2026-07-17,Forgalom,inactive,5187,actions:link_click,11.13861577,1300,Napi,57776,199323,82373,2.419761,289.86118,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Post boost kampány",inactive,2988,actions:link_click,30.64089692,1000,Napi,91555,360688,123663,2.916701,253.834339,1,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0.240293
2023-06-17,2026-07-17,"Bejegyzés: „🚤💥 Készülj a legénybúcsúra, ahol te lehetsz a...”",inactive,6,actions:link_click,309.83333333,10000,Élettartam,1859,2709,939,2.884984,686.231082,,2023-06-23,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Bejegyzés: „🚤💥 Készülj a lánybúcsúra, ahol egy hajón...”",inactive,152,actions:link_click,56.48026316,20000,Élettartam,8585,12375,3840,3.222656,693.737374,,2023-06-23,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Bejegyzés: „🚤💦 Kipróbálnád a hajóvezetést? 🌞🌊”",inactive,218,actions:link_click,59.55504587,20000,Élettartam,12983,23307,8405,2.772992,557.042948,,2023-06-23,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"vol 3. Forgalom kampány - Hajóbérlés – másolat",inactive,329851,video_thruplay_watched_actions,0.22600508,400,Napi,74548,334144,43795,7.629729,223.101417,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Bejegyzés: „10 fős engedély nélkül vezethető katamaránunk...”",inactive,182,actions:link_click,84.26923077,36000,Élettartam,15337,27512,6586,4.177346,557.465833,,2023-08-20,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Conversion (cart)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,1723452,4265279,669358,6.372194,404.065478,,folyamatban,"Többszörös hozzárendelési beállítás",
2023-06-17,2026-07-17,2-Traffic,inactive,68552,actions:link_click,10.22584316,"Hirdetéssorozat szintű költségkeret használata",0,701002,2315533,635900,3.641348,302.738937,30,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0.87432
2023-06-17,2026-07-17,"Purchase - csomagok",active,1122,actions:offsite_conversion.fb_pixel_purchase,9133.39661319,"Hirdetéssorozat szintű költségkeret használata",0,10247671,13615164,1443045,9.435024,752.665998,1122,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",5.181307
2023-06-17,2026-07-17,"1 - Álláshirdetés - recepciós",inactive,71,actions:leadgen.other,549.84507042,1500,Napi,39039,45305,9387,4.826356,861.69297,,2025-06-06,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Traffic - Hajóbérlés",active,75037,actions:landing_page_view,23.37410877,"Hirdetéssorozat szintű költségkeret használata",0,1753923,3981251,856123,4.650326,440.545698,118,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",1.205836
2023-06-17,2026-07-17,Postboost,inactive,195051,actions:post_engagement,0.59520843,12000,Napi,116096,530014,314265,1.686519,219.043271,2,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0.692952
2023-06-17,2026-07-17,"1 - Álláshirdetés - üzletvezető",inactive,29,actions:leadgen.other,420.10344828,1500,Napi,12183,17438,6359,2.742255,698.646634,,2024-08-02,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Postboost - Copy",inactive,1957,actions:post_engagement,33.98364844,7000,Napi,66506,107444,67875,1.582969,618.982912,,2025-03-10,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Conversion (traffic)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,1708983,5502785,1374110,4.004618,310.566922,27,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",0.590551
2023-06-17,2026-07-17,"1 - Álláshirdetés - masszőr",inactive,17,actions:leadgen.other,414.94117647,1500,Napi,7054,9875,4226,2.336725,714.329114,,2025-02-11,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"1 - Álláshirdetés - Épületkarbantartó - gondnok",inactive,33,actions:leadgen.other,126.03030303,1600,Napi,4159,6316,2576,2.451863,658.486384,,2025-02-21,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Lead Form - Álláshirdetés",inactive,9,actions:leadgen.other,719.22222222,"Hirdetéssorozat szintű költségkeret használata",0,6473,6634,3111,2.132433,975.731082,,2025-02-21,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Postboost - Socialproof",inactive,5991,actions:post_engagement,17.85544984,"Hirdetéssorozat szintű költségkeret használata",0,106972,294397,179171,1.643106,363.359681,,2026-05-15,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Német - traffic",inactive,4274,actions:link_click,34.16495087,"Hirdetéssorozat szintű költségkeret használata",0,146021,314483,177486,1.771875,464.320806,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Német - Lead",active,1,actions:offsite_conversion.fb_pixel_lead,161564,"Hirdetéssorozat szintű költségkeret használata",0,161564,178394,87235,2.044982,905.658262,,folyamatban,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",
2023-06-17,2026-07-17,"Lengyel - Lead",active,,,,"Hirdetéssorozat szintű költségkeret használata",0,124521,179472,103387,1.735924,693.818534,,folyamatban,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",
2023-06-17,2026-07-17,"3 - Conversion Hajóbérlés English",inactive,4629,actions:landing_page_view,23.13372219,"Hirdetéssorozat szintű költségkeret használata",0,107086,118512,43060,2.752253,903.587822,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Conversion (addtocart_2025))",inactive,,,,2500,Napi,935703,2327093,557591,4.173477,402.090935,,folyamatban,"Többszörös hozzárendelési beállítás",
2023-06-17,2026-07-17,"Szerelmesek Csomagja - CBO - TESTING #1",inactive,,,,10000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Szerelmesek Csomagja - CBO - TESTING #2",inactive,,,,10000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"[COLD] - [SzeremesekCsomagja]_[CBO]_[WINNERS]_[BP]",inactive,,,,3000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Royal Mediterran - WE - RE - AL - HU - Szerelmesek csomagja (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Royal Mediterran - WE - RE - Instagram - HU - Szerelmesek csomagja (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Royal Mediterran - WE - RE - Instagram - HU - Szerelmesek csomagja (4.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Royal Mediterran - WE - RE - AL - HU - Karácsonyi ajándék csomag (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Royal Mediterran - WE - RE - Instagram - HU - Karácsonyi ajándék csomag (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Royal Mediterran - WE - RE - AL - HU - Valentin-napi ajándékcsomag (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Royal Mediterran - WE - AL - HU - F24-55 - Valentin-napi ajándékcsomag (7.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Royal Mediterran - WE - AL - HU - F24-55 - Valentin-napi ajándékcsomag (8.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Forgalom webhelyre RM",inactive,,,,10000,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"royalmediterran.hu - rem 14",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"royalmediterran.hu - csomagajánlat carousel",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Remarketing - csomagok oldalakon jártak",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Forgalom kampány - Hajóbérlés",inactive,,,,1000,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"postboost valentin csakma",inactive,214,actions:post_engagement,17.12149533,3700,Élettartam,3664,7683,7062,1.087935,476.897045,,2026-02-09,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"postboost nőnapi",inactive,358,actions:post_engagement,27.83798883,"Hirdetéssorozat szintű költségkeret használata",0,9966,23902,22778,1.049346,416.952556,,2026-03-08,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Sabeeapp Conversion",inactive,1,conversions:donate_website,88357,10000,Napi,88357,62641,26530,2.361138,1410.529845,,2026-05-31,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",
2023-06-17,2026-07-17,"Traffic - Sunset Bar",active,1045,actions:link_click,32.38564593,"Hirdetéssorozat szintű költségkeret használata",0,33843,181400,29291,6.193029,186.565601,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2023-06-17,2026-07-17,"Purchase v2",active,6,actions:offsite_conversion.fb_pixel_purchase,22071.66666667,"Hirdetéssorozat szintű költségkeret használata",0,132430,145513,35770,4.068018,910.090507,6,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",2.828815
2023-06-17,2026-07-17,"Purchase - Hajóbérlés",active,,,,"Hirdetéssorozat szintű költségkeret használata",0,52338,67005,28464,2.354026,781.105888,,folyamatban,"Többszörös hozzárendelési beállítás",
2023-06-17,2026-07-17,"Traffic - Hajós bulik",active,305,actions:link_click,50.24918033,"Hirdetéssorozat szintű költségkeret használata",0,15326,23551,12583,1.871652,650.75793,,2026-07-24,"7 napos kattintásos vagy 1 napos megtekintéses",
