"Jelentés kezdete","Jelentés vége","Kampány neve","Kampány teljesítése",Eredmények,"Eredmény jelzése","Eredményenkénti költség","Hirdetéssorozat költségkerete","Hirdetéssorozat költségkeretének típusa","Elköltött összeg (HUF)",Megjelenések,Elérés,Gyakoriság,"CPM (1000 megjelenésre jutó költség) (HUF)",Vásárlások,Vége,"Hozzárendelés beállítása","Vásárlási hirdetésmegtérülés (ROAS)"
2026-06-17,2026-07-16,"Szerelmesek Csomagja - CBO - TESTING #2",inactive,,,,10000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"[COLD] - [SzeremesekCsomagja]_[CBO]_[WINNERS]_[BP]",inactive,,,,3000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - RE - AL - HU - Szerelmesek csomagja (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - RE - Instagram - HU - Szerelmesek csomagja (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - RE - AL - HU - Karácsonyi ajándék csomag (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - RE - Instagram - HU - Karácsonyi ajándék csomag (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - RE - AL - HU - Valentin-napi ajándékcsomag (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - AL - HU - F24-55 - Valentin-napi ajándékcsomag (7.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - AL - HU - F24-55 - Valentin-napi ajándékcsomag (8.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,Forgalom,inactive,,,,1300,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"royalmediterran.hu - rem 14",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"royalmediterran.hu - csomagajánlat carousel",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Forgalom kampány - Hajóbérlés",inactive,,,,1000,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Purchase - csomagok",active,11,actions:offsite_conversion.fb_pixel_purchase,14795.63636364,"Hirdetéssorozat szintű költségkeret használata",0,162752,207091,62260,3.326229,785.896055,11,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",4.659236
2026-06-17,2026-07-16,"Traffic - Hajóbérlés",active,8389,actions:landing_page_view,18.69293122,"Hirdetéssorozat szintű költségkeret használata",0,156815,291792,161339,1.808565,537.420491,8,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",1.461595
2026-06-17,2026-07-16,"Conversion (traffic)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Német - traffic",inactive,899,actions:link_click,18.9432703,"Hirdetéssorozat szintű költségkeret használata",0,17030,46431,29373,1.580737,366.780815,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Német - Lead",active,,,,"Hirdetéssorozat szintű költségkeret használata",0,45194,24443,14169,1.725104,1848.954711,,folyamatban,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",
2026-06-17,2026-07-16,"Lengyel - Lead",active,,,,"Hirdetéssorozat szintű költségkeret használata",0,63823,91160,50423,1.807905,700.120667,,folyamatban,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",
2026-06-17,2026-07-16,"3 - Conversion Hajóbérlés English",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Conversion (addtocart_2025))",inactive,,,,2500,Napi,0,0,0,0,0,,folyamatban,"Többszörös hozzárendelési beállítás",
2026-06-17,2026-07-16,"Sabeeapp Conversion",inactive,,,,10000,Napi,0,0,0,0,0,,2026-05-31,"7 napos kattintásos, 1 napos megtekintéses vagy 1 napos aktivitásos–megtekintéses",
2026-06-17,2026-07-16,"Traffic - Sunset Bar",active,1009,actions:link_click,32.36967294,"Hirdetéssorozat szintű költségkeret használata",0,32661,174933,29090,6.01351,186.705767,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Purchase v2",active,6,actions:offsite_conversion.fb_pixel_purchase,21312,"Hirdetéssorozat szintű költségkeret használata",0,127872,141085,34160,4.130123,906.347237,6,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",2.929648
2026-06-17,2026-07-16,"Purchase - Hajóbérlés",active,3,actions:offsite_conversion.fb_pixel_purchase,15715,"Hirdetéssorozat szintű költségkeret használata",0,47145,61116,27192,2.247573,771.401924,3,folyamatban,"Többszörös hozzárendelési beállítás",4.178598
2026-06-17,2026-07-16,"Royal MEditerran Black Friday Chatbot post",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Húsvét -Család -  Conversion",inactive,,,,1000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Szerelmesek Csomagja - CBO",inactive,,,,3000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"[COLD] - Szerelmesek Csomagja – Daily budget_[WIDE]",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"[HOT] - Szerelmesek Csomagja - Remarketing - DAILYBUDGET",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Szerelmesek Csomagja - CBO - TESTING #1",inactive,,,,10000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Új adek",inactive,,,,3000,Napi,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - RE - Instagram - HU - Szerelmesek csomagja (4.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - RE - Instagram Stories - HU - Szerelmesek csomagja (1.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Royal Mediterran - WE - RE - AL - HU - Valentin-napi ajándékcsomag (6.)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"28 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Forgalom webhelyre RM",inactive,,,,10000,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Forgalom webhelyre RM",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Remarketing - csomagok oldalakon jártak",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Post boost kampány",inactive,,,,1000,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Próba 2. Forgalom kampány - Hajóbérlés",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"vol 3. Forgalom kampány - Hajóbérlés – másolat",inactive,,,,400,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,"Conversion (cart)",inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"Többszörös hozzárendelési beállítás",
2026-06-17,2026-07-16,2-Traffic,inactive,,,,"Hirdetéssorozat szintű költségkeret használata",0,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
2026-06-17,2026-07-16,Postboost,inactive,,,,12000,Napi,0,0,0,0,0,,folyamatban,"7 napos kattintásos vagy 1 napos megtekintéses",
